,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4152,Vitolo,Left Winger,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,18,25.0,36.0,1
4153,Antonio Rüdiger,Centre-Back,24,AS Roma,Italy Serie A,Chelsea,Premier League,18,25.0,35.0,3
4154,Victor Lindelöf,Centre-Back,22,Benfica,LaLiga,Man Utd,Premier League,18,22.0,35.0,3
4155,Iñigo Martínez,Centre-Back,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,18,25.0,32.0,3
4156,Nélson Semedo,Right-Back,23,Benfica,LaLiga,FC Barcelona,LaLiga,18,20.0,30.57,3
4157,Yannick Carrasco,Left Winger,24,Atlético Madrid,LaLiga,DL Yifang,Super League Greece,18,40.0,30.0,1
4158,Keita Baldé,Left Winger,22,Lazio,Italy Serie A,Monaco,French Ligue 1,18,25.0,30.0,1
4159,Danilo,Right-Back,26,Real Madrid,LaLiga,Man City,Premier League,18,16.0,30.0,3
4160,Michael Keane,Centre-Back,24,Burnley,Premier League,Everton,Premier League,18,18.0,28.5,3
4161,Jordan Pickford,Goalkeeper,23,Sunderland,English League Championship,Everton,Premier League,18,15.0,28.5,4
4162,Lucas Moura,Right Winger,25,Paris SG,French Ligue 1,Spurs,Premier League,18,28.0,28.4,1
4163,Mamadou Sakho,Centre-Back,27,Liverpool,Premier League,Crystal Palace,Premier League,18,15.0,28.2,3
4164,Kelechi Iheanacho,Centre-Forward,20,Man City,Premier League,Leicester,Premier League,18,15.0,27.7,1
4165,Davy Klaassen,Attacking Midfield,24,AFC Ajax,Eredivisie League(Nederland),Everton,Premier League,18,18.0,27.0,2
4166,Milan Skriniar,Centre-Back,22,Sampdoria,Italy Serie A,Inter,Italy Serie A,18,7.0,27.0,3
4167,Youri Tielemans,Central Midfield,20,RSC Anderlecht,Jupiler Pro League(Belgium),Monaco,French Ligue 1,18,22.0,25.0,2
4168,Andriy Yarmolenko,Right Winger,27,Dynamo Kyiv,Premier League,Bor. Dortmund,German Bundesliga,18,18.0,25.0,1
4169,Serge Aurier,Right-Back,24,Paris SG,French Ligue 1,Spurs,Premier League,18,15.0,25.0,3
4170,Davide Zappacosta,Right-Back,25,Torino,Italy Serie A,Chelsea,Premier League,18,8.5,25.0,3
4171,Adrien Silva,Central Midfield,28,Sporting CP,LaLiga,Leicester,Premier League,18,25.0,24.5,2
4172,Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,18,15.0,24.0,3
4173,Matías Vecino,Central Midfield,25,Fiorentina,Italy Serie A,Inter,Italy Serie A,18,13.0,24.0,2
4174,Lucas Alario,Centre-Forward,24,River Plate,LaLiga,Bay. Leverkusen,German Bundesliga,18,12.0,24.0,1
4175,Andrea Conti,Right-Back,23,Atalanta,Italy Serie A,AC Milan,Italy Serie A,18,10.0,24.0,3
4176,Leandro Paredes,Defensive Midfield,23,AS Roma,Italy Serie A,Zenit S-Pb,Premier League,18,13.0,23.0,2
4177,André Ayew,Left Winger,28,West Ham,Premier League,Swansea,Premier League,18,18.0,22.8,1
4178,Nathan Aké,Centre-Back,22,Chelsea,Premier League,Bournemouth,Premier League,18,8.0,22.8,3
4179,Theo Walcott,Right Winger,28,Arsenal,Premier League,Everton,Premier League,18,20.0,22.5,1
4180,Cenk Tosun,Centre-Forward,26,Besiktas,Turkish Super Lig,Everton,Premier League,18,10.5,22.5,1
4181,Marko Arnautovic,Left Winger,28,Stoke City,Premier League,West Ham,Premier League,18,15.0,22.3,1
4182,Hakan Calhanoglu,Left Winger,23,Bay. Leverkusen,German Bundesliga,AC Milan,Italy Serie A,18,20.0,22.0,1
4183,Guido Carrillo,Centre-Forward,26,Monaco,French Ligue 1,Southampton,Premier League,18,6.0,22.0,1
4184,Luis Muriel,Centre-Forward,26,Sampdoria,Italy Serie A,Sevilla FC,LaLiga,18,17.0,21.5,1
4185,Manuel Akanji,Centre-Back,22,FC Basel,Super League Greece,Bor. Dortmund,German Bundesliga,18,5.0,21.5,3
4186,Kingsley Coman,Left Winger,21,Juventus,Italy Serie A,Bayern Munich ,German Bundesliga,18,20.0,21.0,1
4187,Pietro Pellegri,Centre-Forward,16,Genoa,Italy Serie A,Monaco,French Ligue 1,18,8.0,21.0,1
