,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
796,798,Albert Riera,Left Winger,21,RCD Mallorca,LaLiga,G. Bordeaux,Ligue 1,2003-2004,2.5,5.0,F
797,799,Ivica Olic,Centre-Forward,23,Dinamo Zagreb, Croatia,CSKA Moscow,Premier Liga,2003-2004,2.5,5.0,F
798,800,Ariel Ibagaza,Attacking Midfield,26,RCD Mallorca,LaLiga,Atlético Madrid,LaLiga,2003-2004,2.5,5.0,M
799,801,Ciprian Marica,Centre-Forward,18,Dinamo Bukarest, Romania,Shakhtar D.,Premier Liga,2003-2004,2.5,5.0,F
800,802,Ilhan Mansiz,Centre-Forward,28,Besiktas,Süper Lig,Vissel Kobe,J1 - 2nd Stage,2003-2004,2.5,5.0,F
801,803,Kevin Phillips,Centre-Forward,30,Sunderland,First Division,Southampton,Premier League,2003-2004,2.425,4.85,F
802,804,Yakubu Aiyegbeni,Centre-Forward,20,Maccabi Haifa,Ligat ha'Al,Portsmouth,Premier League,2003-2004,2.375,4.75,F
803,805,Zvonimir Vukic,Attacking Midfield,23,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,2.35,4.7,M
804,806,Amauri,Centre-Forward,23,FC Empoli,Serie A,Chievo Verona,Serie A,2003-2004,2.25,4.5,F
805,807,Dmitri Sychev,Centre-Forward,20,Marseille,Ligue 1,Loko Moscow,Premier Liga,2003-2004,2.25,4.5,F
806,808,Eric Djemba-Djemba,Defensive Midfield,22,FC Nantes,Ligue 1,Man Utd,Premier League,2003-2004,2.25,4.5,M
807,809,Deivid,Centre-Forward,23,Cruzeiro, Brazil,G. Bordeaux,Ligue 1,2003-2004,2.25,4.5,F
808,810,Malcolm Christie,Right Winger,24,Derby,First Division,Middlesbrough,Premier League,2003-2004,2.25,4.5,F
809,811,Andrija Delibasic,Centre-Forward,22,Partizan, Serbia,RCD Mallorca,LaLiga,2003-2004,2.25,4.5,F
810,812,Daniel Carvalho,Attacking Midfield,20,Internacional, Brazil,CSKA Moscow,Premier Liga,2003-2004,2.1,4.2,M
811,813,Giovane Elber,Centre-Forward,31,Bayern Munich ,1.Bundesliga,Olympique Lyon,Ligue 1,2003-2004,2.1,4.2,F
812,814,Dejan Stankovic,Central Midfield,25,Lazio,Serie A,Inter,Serie A,2003-2004,2.0,4.0,M
813,815,Florent Malouda,Central Midfield,23,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,2.0,4.0,M
814,816,Bonaventure Kalou,Right Winger,25,Feyenoord,Eredivisie,AJ Auxerre,Ligue 1,2003-2004,2.0,4.0,F
815,817,Igor Duljaj,Defensive Midfield,24,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,2.0,4.0,M
816,818,Chun-soo Lee,Second Striker,21,Ulsan,K League 1,Real Sociedad,LaLiga,2003-2004,2.0,4.0,F
817,819,Dudu Cearense,Central Midfield,20,EC Vitória, Brazil,Kashiwa Reysol,J1 - 2nd Stage,2003-2004,1.95,3.9,M
818,820,Kim Källström,Defensive Midfield,21,Djurgarden, Sweden,Stade Rennais,Ligue 1,2003-2004,1.875,3.75,M
819,821,Trevor Sinclair,Left Winger,30,West Ham,First Division,Man City,Premier League,2003-2004,1.875,3.75,F
820,822,Claudio Reyna,Central Midfield,29,Sunderland,First Division,Man City,Premier League,2003-2004,1.875,3.75,M
821,823,Luciano Figueroa,Centre-Forward,22,CA Rosario, Argentina,Birmingham,Premier League,2003-2004,1.875,3.75,F
822,824,Steven Reid,Right-Back,22,Millwall,First Division,Blackburn,Premier League,2003-2004,1.8,3.6,D
823,825,Philippe Senderos,Centre-Back,18,Servette FC,Super League,Arsenal,Premier League,2003-2004,1.775,3.55,D
824,826,Júlio Baptista,Attacking Midfield,21,São Paulo, Brazil,Sevilla FC,LaLiga,2003-2004,1.75,3.5,M
825,827,Gabriel Milito,Centre-Back,22,Independiente, Argentina,Real Zaragoza,LaLiga,2003-2004,1.75,3.5,D
826,828,Benni McCarthy,Centre-Forward,25,Celta de Vigo,LaLiga,FC Porto,Liga NOS,2003-2004,1.75,3.5,F
827,829,Zdenek Grygera,Right-Back,23,Sparta Praha,HET Liga,AFC Ajax,Eredivisie,2003-2004,1.75,3.5,D
